City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Waipawa,NZ,2021-10-05 19:53:24,-41.4122,175.5153,54.45,91,99,6.26
68,Carnarvon,AU,2021-10-05 19:52:22,-24.8667,113.6333,60.87,67,34,17.27
69,Albany,US,2021-10-05 19:49:25,42.6001,-73.9662,62.8,95,100,1.52
70,Jamestown,US,2021-10-05 19:50:11,42.097,-79.2353,74.52,76,40,4.0
71,Provideniya,RU,2021-10-05 19:53:24,64.3833,-173.3,37.51,93,90,6.71
72,Kaka,TM,2021-10-05 19:53:28,37.3482,59.6143,56.1,34,0,1.68
73,Tolaga Bay,NZ,2021-10-05 19:53:28,-38.3667,178.3,58.48,90,64,3.47
74,Tiksi,RU,2021-10-05 19:51:54,71.6872,128.8694,28.6,90,100,13.47
75,Vestmannaeyjar,IS,2021-10-05 19:53:29,63.4427,-20.2734,43.63,89,100,24.47
76,Yar-Sale,RU,2021-10-05 19:53:29,66.8333,70.8333,38.3,88,100,11.03
77,Roebourne,AU,2021-10-05 19:53:29,-20.7833,117.1333,72.37,29,0,14.52
78,Masaka,UG,2021-10-05 19:53:30,-0.3338,31.7341,66.67,72,99,3.29
79,Nome,US,2021-10-05 19:50:18,64.5011,-165.4064,42.87,93,90,16.11
80,Misratah,LY,2021-10-05 19:53:31,32.3754,15.0925,77.32,66,0,14.14
81,Rio Grande,BR,2021-10-05 19:50:19,-32.035,-52.0986,68.11,57,0,10.76
82,Lebu,CL,2021-10-05 19:53:31,-37.6167,-73.65,52.79,71,0,23.71
83,Baykit,RU,2021-10-05 19:53:32,61.67,96.37,26.65,95,51,3.4
84,Micheweni,TZ,2021-10-05 19:53:33,-4.9667,39.8333,76.5,79,11,12.88
85,Husavik,IS,2021-10-05 19:53:33,66.0449,-17.3389,39.11,78,100,3.8
86,Hakkari,TR,2021-10-05 19:53:34,37.5833,44.1667,42.87,45,2,4.59
87,Elko,US,2021-10-05 19:53:34,41.0002,-115.5012,76.75,18,21,7.0
88,Kapaa,US,2021-10-05 19:50:04,22.0752,-159.319,81.19,72,40,1.01
89,Mar Del Plata,AR,2021-10-05 19:53:35,-38.0023,-57.5575,71.62,57,0,13.0
90,Novoagansk,RU,2021-10-05 19:53:36,61.9449,76.6625,33.55,98,100,8.59
91,Araouane,ML,2021-10-05 19:53:36,18.9048,-3.5265,92.73,25,33,8.72
92,Ponta Do Sol,PT,2021-10-05 19:53:37,32.6667,-17.1,72.23,74,100,5.35
93,San Cristobal,VE,2021-10-05 19:53:00,7.7669,-72.225,80.78,66,91,5.5
94,Arraial Do Cabo,BR,2021-10-05 19:53:38,-22.9661,-42.0278,71.46,83,90,6.91
95,Chokurdakh,RU,2021-10-05 19:53:38,70.6333,147.9167,21.02,89,99,9.86
96,Nikolskoye,RU,2021-10-05 19:53:39,59.7035,30.7861,51.87,70,97,12.12
97,Kaitangata,NZ,2021-10-05 19:53:39,-46.2817,169.8464,52.41,95,100,12.03
98,Abu Kamal,SY,2021-10-05 19:53:39,34.4506,40.9171,74.14,24,0,6.55
99,Port Alfred,ZA,2021-10-05 19:53:40,-33.5906,26.891,61.05,78,54,13.85
100,Seredeyskiy,RU,2021-10-05 19:53:42,54.0507,35.2318,45.07,88,100,6.08
101,Ostrovnoy,RU,2021-10-05 19:52:19,68.0531,39.5131,47.26,89,100,28.72
102,Shelburne,CA,2021-10-05 19:53:42,44.0787,-80.2041,61.59,96,98,5.68
103,Torbay,CA,2021-10-05 19:53:43,47.6666,-52.7314,48.27,80,90,23.02
104,Northam,GB,2021-10-05 19:53:43,51.0333,-4.2167,57.65,79,3,21.74
105,Machachi,EC,2021-10-05 19:49:39,-0.5,-78.5667,62.1,82,100,2.82
106,Georgetown,MY,2021-10-05 19:52:33,5.4112,100.3354,78.73,90,40,3.0
107,Margate,GB,2021-10-05 19:53:44,51.3813,1.3862,55.69,74,66,1.99
108,San Carlos Del Zulia,VE,2021-10-05 19:53:45,9.0,-71.9135,88.18,65,99,6.33
109,Hami,CN,2021-10-05 19:53:45,42.8,93.45,55.58,21,15,4.76
110,Sao Filipe,CV,2021-10-05 19:53:45,14.8961,-24.4956,81.54,72,7,8.86
111,Clyde River,CA,2021-10-05 19:53:46,70.4692,-68.5914,34.03,100,90,11.5
112,Salalah,OM,2021-10-05 19:53:46,17.0151,54.0924,79.52,90,64,6.71
113,Kahului,US,2021-10-05 19:52:56,20.8947,-156.47,84.22,63,20,18.41
114,Chuy,UY,2021-10-05 19:53:47,-33.6971,-53.4616,63.84,58,0,7.16
115,Rio Bueno,CL,2021-10-05 19:53:47,-40.3167,-72.9667,53.74,36,16,8.55
116,Bengkulu,ID,2021-10-05 19:53:05,-3.8004,102.2655,74.43,90,100,3.71
117,Faya,SA,2021-10-05 19:53:48,18.3851,42.4509,68.11,42,100,7.43
118,Lagoa,PT,2021-10-05 19:53:48,39.05,-27.9833,71.94,87,55,10.22
119,Portoferraio,IT,2021-10-05 19:53:48,42.8115,10.3146,70.52,60,96,3.69
120,Necochea,AR,2021-10-05 19:53:49,-38.5473,-58.7368,69.04,56,100,8.9
121,Tuatapere,NZ,2021-10-05 19:51:20,-46.1333,167.6833,49.82,92,100,3.47
122,Bathsheba,BB,2021-10-05 19:51:48,13.2167,-59.5167,88.41,62,40,21.85
123,Beloha,MG,2021-10-05 19:53:49,-25.1667,45.05,65.05,73,0,8.81
124,Severo-Kurilsk,RU,2021-10-05 19:53:50,50.6789,156.125,42.69,85,38,23.64
125,Ilulissat,GL,2021-10-05 19:52:08,69.2167,-51.1,23.74,65,85,9.98
126,Ahipara,NZ,2021-10-05 19:53:50,-35.1667,173.1667,61.83,90,99,6.82
127,Dikson,RU,2021-10-05 19:53:50,73.5069,80.5464,36.52,95,100,19.51
128,Araguacu,BR,2021-10-05 19:53:51,-12.9306,-49.8264,96.22,31,55,4.25
129,Avera,US,2021-10-05 19:53:51,33.194,-82.5271,76.51,70,100,5.57
130,Narsaq,GL,2021-10-05 19:53:51,60.9167,-46.05,35.28,66,0,5.1
131,Turochak,RU,2021-10-05 19:53:52,52.2576,87.1224,39.7,93,100,2.68
132,Fuling,CN,2021-10-05 19:53:52,29.7022,107.3919,76.23,78,1,2.08
133,Leh,IN,2021-10-05 19:53:52,34.1667,77.5833,48.11,36,1,4.45
134,Gasa,PS,2021-10-05 19:53:53,31.5,34.4667,75.18,60,0,5.88
135,Xining,CN,2021-10-05 19:53:53,36.6167,101.7667,47.05,88,100,3.13
136,Penzance,GB,2021-10-05 19:53:53,50.1186,-5.5371,56.41,71,39,22.46
137,Tokur,RU,2021-10-05 19:53:54,53.1333,132.9,24.85,87,99,3.11
138,San Ramon De La Nueva Oran,AR,2021-10-05 19:50:34,-23.1322,-64.326,83.43,27,90,6.51
139,Rio Negro,BR,2021-10-05 19:53:54,-26.1058,-49.7975,56.64,88,100,4.12
140,Banda Aceh,ID,2021-10-05 19:53:55,5.5577,95.3222,79.65,79,100,10.63
141,Mount Gambier,AU,2021-10-05 19:53:55,-37.8333,140.7667,42.71,93,31,8.05
142,Alice Springs,AU,2021-10-05 19:50:43,-23.7,133.8833,62.15,29,4,5.75
143,Kirakira,SB,2021-10-05 19:53:55,-10.4544,161.9205,81.39,78,30,5.68
144,Codrington,AU,2021-10-05 19:53:56,-38.2667,141.9667,40.75,92,56,8.88
145,Klaksvik,FO,2021-10-05 19:53:56,62.2266,-6.589,43.72,76,98,10.49
146,Petropavlovsk-Kamchatskiy,RU,2021-10-05 19:53:57,53.0452,158.6483,28.99,74,20,8.95
147,San Quintin,MX,2021-10-05 19:52:59,30.4833,-115.95,74.5,65,12,10.92
148,Isangel,VU,2021-10-05 19:53:57,-19.55,169.2667,73.51,94,1,3.44
